loan_id,loan_amnt,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,purpose,addr_state,dti,delinq_2yrs,fico_range_low,inq_last_6mths,mths_since_last_delinq,open_acc,pub_rec,revol_bal,revol_util,total_acc,total_pymnt,total_rec_prncp,total_rec_int,last_pymnt_amnt,mort_acc,pub_rec_bankruptcies,fico_range_high,loan_status
LC100010,1802,36,15.52,1089.92,D,B5,Nurse,n/a,OWN,56179,Not Verified,2022-01-31,other,NC,18.95,0,705,0,,23,0,10503,3.9,47,39949.32,12877.93,8979.61,224.99,2,0,709,Charged Off
LC100011,38826,36,26.1,1072.89,B,C2,Sales,1 year,RENT,39677,Source Verified,2022-12-31,debt_consolidation,CA,34.8,1,740,2,51.0,20,0,22610,53.9,18,3205.43,1917.17,1238.43,1538.1,0,0,744,Fully Paid
LC100012,33465,60,27.35,1350.12,B,B2,Technician,6 years,MORTGAGE,55495,Not Verified,2023-07-31,debt_consolidation,PA,42.41,1,700,1,73.0,24,0,18678,89.5,68,5305.55,22193.73,9475.26,1432.68,3,1,704,Fully Paid
LC100013,9281,36,22.03,110.02,C,B1,Technician,5 years,RENT,174192,Source Verified,2023-08-31,car,MI,36.12,2,810,2,13.0,24,0,4108,69.2,40,16919.43,21505.86,10802.22,513.68,5,0,814,Fully Paid
LC100014,8091,60,14.11,503.72,C,B4,Technician,3 years,RENT,71910,Not Verified,2021-06-30,small_business,VA,38.41,0,825,3,27.0,4,2,20386,45.3,69,28113.11,13330.3,8168.83,1485.99,2,0,829,Fully Paid
LC100015,8152,60,24.36,682.88,B,C1,Director,10+ years,RENT,65529,Verified,2023-01-31,car,AZ,27.08,2,840,1,,24,0,25263,36.9,36,7724.84,2295.33,2927.96,314.82,2,0,844,Fully Paid
LC100016,12865,36,6.09,454.38,D,C3,Sales,9 years,RENT,98207,Verified,2022-04-30,debt_consolidation,FL,24.73,0,755,1,35.0,13,0,49554,16.2,60,16187.73,19361.42,5243.12,399.81,1,0,759,Fully Paid
LC100017,21465,36,7.86,454.41,A,D4,Teacher,10+ years,MORTGAGE,36052,Verified,2019-08-31,car,NC,8.34,0,695,0,,25,0,49830,74.9,51,31990.38,13474.83,8577.44,1764.8,4,0,699,Fully Paid
LC100018,17845,36,20.71,271.3,C,B2,Sales,9 years,MORTGAGE,25154,Not Verified,2021-02-28,credit_card,OTHER,10.06,0,830,1,,34,1,27121,81.8,60,27444.75,18541.27,13608.4,1323.29,0,0,834,Fully Paid
LC100019,12357,36,12.2,1143.74,B,E4,Sales,2 years,RENT,29735,Not Verified,2018-06-30,credit_card,VA,29.79,3,815,1,48.0,22,0,3811,64.3,14,38177.45,14002.47,6910.49,1421.45,0,0,819,Fully Paid
LC100020,24862,36,27.38,1274.05,A,C3,Nurse,6 years,MORTGAGE,236422,Verified,2018-09-30,major_purchase,IL,26.4,0,805,1,18.0,2,0,1932,64.0,74,1406.03,13634.99,3911.98,676.67,5,0,809,Fully Paid
LC100021,6440,60,15.53,142.79,C,B4,Other,5 years,OWN,76188,Not Verified,2021-03-31,credit_card,PA,37.35,0,815,1,53.0,34,0,10949,2.8,14,20405.25,5639.76,1770.12,675.59,3,0,819,Fully Paid
LC100022,12393,36,15.38,242.21,B,C3,Nurse,5 years,RENT,52789,Source Verified,2022-05-31,credit_card,OTHER,29.67,0,685,1,,18,0,2644,73.4,48,27772.99,29060.38,12181.54,681.51,1,0,689,Fully Paid
LC100023,15288,60,21.1,342.98,B,E2,Analyst,< 1 year,OWN,197434,Source Verified,2020-07-31,car,OH,30.28,5,795,4,,3,0,4816,44.2,36,38734.35,7213.74,6074.65,1853.8,0,0,799,Fully Paid
LC100024,18786,36,23.15,727.31,C,C5,Engineer,8 years,RENT,69808,Source Verified,2021-09-30,debt_consolidation,MI,4.1,0,830,0,2.0,10,0,5623,48.7,48,26518.99,6685.04,10990.79,551.1,0,0,834,Fully Paid
LC100025,31621,60,16.44,1113.91,F,E4,Engineer,6 years,RENT,70024,Verified,2023-04-30,credit_card,IL,32.13,0,720,1,50.0,14,0,16866,70.3,38,14694.08,35425.51,7048.65,1810.5,0,0,724,Fully Paid
LC100026,8787,36,10.42,127.89,D,B5,Technician,10+ years,MORTGAGE,49211,Verified,2022-09-30,car,NY,44.86,0,750,1,,12,1,21613,18.6,27,28737.98,6768.71,12393.72,465.38,5,0,754,Fully Paid
LC100027,21055,36,23.29,902.43,B,E3,Nurse,4 years,MORTGAGE,34455,Not Verified,2019-04-30,small_business,OH,14.15,0,665,0,37.0,12,0,4098,38.3,18,16849.1,1240.32,3748.51,1141.5,0,0,669,Fully Paid
LC100028,24104,36,12.87,234.59,B,C4,Teacher,< 1 year,MORTGAGE,160946,Not Verified,2018-05-31,car,TX,19.19,2,845,5,11.0,16,0,9759,43.4,17,30680.17,25586.12,4105.6,544.5,4,0,849,Fully Paid
LC100029,2811,36,9.53,1360.9,C,F2,Engineer,9 years,MORTGAGE,76161,Not Verified,2021-12-31,other,FL,23.44,1,820,3,,27,1,93830,24.1,22,32430.56,27879.0,754.94,1448.36,0,0,824,Fully Paid
LC100030,24694,36,20.03,1261.32,B,E4,Director,10+ years,RENT,108060,Not Verified,2019-12-31,debt_consolidation,PA,20.64,0,780,4,34.0,20,0,4461,58.5,28,23922.56,35328.33,3216.08,1984.71,0,0,784,Fully Paid
LC100031,7650,60,7.58,1330.93,B,C2,Manager,1 year,OWN,31031,Verified,2022-02-28,debt_consolidation,GA,5.31,0,825,1,32.0,29,0,2997,29.3,16,12795.65,29211.46,5706.51,1212.79,0,0,829,Fully Paid
LC100032,3537,36,27.84,175.44,B,D3,Manager,1 year,MORTGAGE,45229,Not Verified,2018-03-31,debt_consolidation,CA,25.85,1,670,0,,27,1,20487,81.5,79,26847.88,13138.37,14095.37,1930.1,3,0,674,Fully Paid
LC100033,38006,60,20.05,698.61,C,B5,Driver,4 years,OWN,141949,Verified,2019-12-31,debt_consolidation,NY,22.85,3,670,0,,31,0,17951,34.2,68,38365.43,20200.87,8870.71,417.57,2,0,674,Fully Paid
LC100034,38659,36,28.18,256.39,D,C1,Director,5 years,MORTGAGE,96804,Not Verified,2023-04-30,debt_consolidation,NC,26.26,0,735,0,74.0,12,0,3554,23.3,25,8648.38,2005.57,527.0,1045.6,0,0,739,Charged Off
LC100035,32527,60,13.29,852.49,C,C1,Other,8 years,OWN,35947,Not Verified,2023-03-31,debt_consolidation,FL,23.99,0,825,3,,15,0,94988,64.8,28,46965.22,30418.22,2933.8,514.82,1,0,829,Fully Paid
LC100036,12879,36,27.84,348.85,F,B4,Nurse,7 years,RENT,28117,Source Verified,2019-08-31,major_purchase,IL,5.52,0,745,3,,26,1,35672,33.1,40,17912.39,25643.27,4437.86,1765.39,1,0,749,Fully Paid
LC100037,4809,36,8.85,1085.76,B,C5,Director,6 years,RENT,47541,Not Verified,2018-10-31,debt_consolidation,IL,17.01,0,660,1,34.0,21,0,4855,51.9,36,49483.89,28975.36,8438.21,654.49,2,0,664,Fully Paid
LC100038,27685,60,6.44,912.28,G,E2,Technician,9 years,MORTGAGE,58341,Not Verified,2018-11-30,debt_consolidation,GA,36.55,0,820,1,22.0,20,0,8796,55.7,24,38303.98,3052.87,9589.45,864.22,1,0,824,Charged Off
LC100039,18165,36,6.26,813.1,C,A1,Manager,6 years,MORTGAGE,54026,Not Verified,2020-04-30,major_purchase,NJ,43.81,0,665,0,35.0,2,0,7050,39.9,72,41851.83,7658.64,9834.91,378.93,3,0,669,Fully Paid
LC100040,5759,36,16.19,1160.56,B,C5,Driver,3 years,MORTGAGE,83454,Not Verified,2023-11-30,credit_card,IL,44.62,0,840,1,,7,0,6192,24.9,6,19446.3,37262.15,6881.16,1786.29,0,0,844,Fully Paid
LC100041,20311,36,7.41,715.37,F,B5,Sales,1 year,MORTGAGE,30479,Source Verified,2018-02-28,debt_consolidation,NC,34.11,1,765,1,21.0,7,0,12416,56.8,65,23335.32,10356.69,9060.5,843.59,7,0,769,Charged Off
LC100042,2341,36,17.28,399.7,C,F3,Analyst,< 1 year,MORTGAGE,39414,Verified,2022-06-30,major_purchase,CA,18.58,1,815,1,,28,0,30019,23.3,75,41501.25,18823.7,9913.35,1250.18,1,0,819,Charged Off
LC100043,36463,36,13.03,880.37,B,F1,Other,7 years,RENT,86156,Not Verified,2021-08-31,car,IL,1.43,0,740,1,54.0,10,0,29915,61.8,36,47916.36,17374.35,7471.72,1052.43,3,0,744,Fully Paid
LC100044,11092,36,13.22,1341.18,B,C3,Technician,3 years,OWN,35458,Verified,2020-11-30,other,MA,22.48,0,765,0,33.0,6,0,9099,83.6,40,13609.73,27476.79,11927.2,770.9,2,0,769,Fully Paid
LC100045,26838,36,20.12,853.59,B,C5,Teacher,9 years,MORTGAGE,22859,Not Verified,2023-04-30,moving,MI,12.13,0,820,2,36.0,20,0,1827,95.0,59,24283.08,14159.46,3566.56,1870.17,4,0,824,Fully Paid
LC100046,13156,36,9.25,892.58,F,E1,Teacher,10+ years,MORTGAGE,95357,Not Verified,2023-10-31,credit_card,CA,14.03,0,675,0,61.0,8,0,956,60.1,14,28430.31,10890.09,10202.83,110.63,0,0,679,Fully Paid
LC100047,21282,36,23.13,1310.61,B,A2,Director,1 year,RENT,80542,Not Verified,2022-04-30,credit_card,IL,23.06,1,840,2,35.0,12,0,21436,46.8,22,16702.47,18469.91,7044.87,1793.33,0,0,844,Charged Off
LC100048,22321,36,18.89,735.93,F,C4,Engineer,5 years,RENT,36918,Not Verified,2019-03-31,car,CA,10.16,0,750,1,,12,0,3600,36.1,25,28763.45,33326.83,11912.45,1805.75,0,0,754,Fully Paid
LC100049,8209,36,26.54,1395.01,B,A5,Other,2 years,MORTGAGE,64876,Verified,2022-12-31,debt_consolidation,OTHER,22.58,2,775,1,,16,0,27675,62.9,22,47334.62,37035.87,10941.06,1036.84,3,0,779,Fully Paid
LC100050,38813,60,13.89,248.74,B,F2,Sales,1 year,RENT,51129,Verified,2022-01-31,credit_card,MA,40.7,1,750,0,,7,0,2287,35.6,41,7505.47,27139.72,6209.71,1847.5,0,2,754,Charged Off
LC100051,31230,60,28.1,765.74,B,B4,Driver,6 years,MORTGAGE,78954,Source Verified,2023-01-31,small_business,WA,13.29,0,660,5,,26,0,5195,54.2,6,8710.55,30332.86,1115.01,382.34,0,0,664,Fully Paid
LC100052,37640,36,18.74,321.67,C,C1,Engineer,3 years,MORTGAGE,111775,Source Verified,2018-05-31,debt_consolidation,NC,19.88,0,825,1,,4,0,29074,88.5,35,35020.76,18003.5,13923.5,319.66,1,0,829,Fully Paid
LC100053,35898,60,27.89,651.06,B,C2,Engineer,4 years,MORTGAGE,80030,Not Verified,2021-01-31,debt_consolidation,IL,12.5,0,795,1,50.0,23,0,3929,71.7,27,7224.2,37551.7,2601.29,1331.11,0,0,799,Fully Paid
LC100054,24318,36,6.12,263.69,D,E2,Manager,5 years,MORTGAGE,51446,Not Verified,2021-07-31,other,OTHER,29.31,0,825,0,74.0,2,0,8469,96.0,14,39485.99,19565.78,6066.48,1425.16,1,0,829,Fully Paid
LC100055,36953,60,22.24,334.86,B,G4,Engineer,6 years,MORTGAGE,71290,Verified,2021-03-31,debt_consolidation,IL,37.12,0,745,0,50.0,6,1,20018,95.0,52,37627.85,5771.07,6566.92,601.13,0,0,749,Fully Paid
LC100056,4451,36,24.28,318.8,D,A2,Engineer,6 years,MORTGAGE,109169,Verified,2023-04-30,small_business,MA,43.26,0,845,0,,12,0,33388,92.7,43,9927.41,15816.54,10613.7,1302.61,1,2,849,Fully Paid
LC100057,8643,36,6.72,468.44,D,D1,Sales,3 years,MORTGAGE,20536,Source Verified,2023-05-31,home_improvement,OH,28.51,1,715,0,40.0,7,0,1437,50.3,47,15361.19,22386.59,11307.95,23.18,1,0,719,Charged Off
LC100058,2763,36,18.82,214.41,B,B1,Engineer,n/a,RENT,41284,Verified,2018-05-31,debt_consolidation,TX,15.26,0,795,0,43.0,14,0,6260,66.6,67,32926.24,5488.81,1393.38,1309.15,0,0,799,Fully Paid
LC100059,13687,36,23.94,1138.8,D,B5,Teacher,7 years,RENT,106200,Not Verified,2019-11-30,credit_card,GA,11.31,0,810,0,,29,0,38906,62.2,50,31347.66,22039.01,6821.65,481.58,0,0,814,Charged Off
LC100060,16158,36,18.4,332.33,E,C4,Nurse,3 years,MORTGAGE,27134,Not Verified,2023-02-28,debt_consolidation,WA,2.36,0,665,5,57.0,27,1,4851,56.6,52,36468.77,11932.35,3591.67,1989.67,2,0,669,Fully Paid
LC100061,11582,36,6.97,600.7,C,G3,Other,3 years,MORTGAGE,41732,Not Verified,2023-01-31,small_business,WA,15.7,0,740,0,28.0,8,0,7616,13.2,28,2646.26,16584.41,2084.02,990.35,2,0,744,Fully Paid
LC100062,33320,36,21.45,52.0,B,B1,Teacher,7 years,RENT,46916,Verified,2022-02-28,credit_card,NJ,36.1,1,695,2,68.0,23,0,7244,88.6,57,26868.09,18514.44,12390.48,1891.92,3,0,699,Fully Paid
LC100063,14913,36,6.89,173.69,C,B3,Manager,8 years,RENT,33912,Verified,2023-04-30,other,TX,35.89,0,745,1,33.0,32,0,2019,17.7,16,24697.44,35973.61,4928.95,527.43,2,0,749,Charged Off
LC100064,11956,36,24.3,1257.89,D,E2,Teacher,5 years,MORTGAGE,113608,Not Verified,2018-01-31,credit_card,OH,38.12,0,665,1,57.0,5,0,2709,68.5,78,36373.65,29874.73,2303.86,917.33,2,0,669,Charged Off
LC100065,22165,36,6.49,1176.91,B,E4,Other,1 year,RENT,48950,Not Verified,2021-02-28,car,OTHER,18.09,0,745,1,,31,0,11978,64.0,32,19216.92,26804.75,10280.67,763.79,1,0,749,Fully Paid
LC100066,6496,36,8.66,1182.06,B,B4,Technician,10+ years,RENT,115735,Not Verified,2020-06-30,debt_consolidation,TX,28.68,2,705,0,66.0,30,0,1586,49.9,25,14072.3,20423.36,448.01,1097.09,1,0,709,Fully Paid
LC100067,32285,36,11.83,593.55,B,B1,Sales,n/a,MORTGAGE,97790,Not Verified,2018-08-31,debt_consolidation,NJ,7.05,0,770,0,,32,0,3872,20.5,44,11988.72,13839.13,7159.26,1504.0,1,1,774,Fully Paid
LC100068,3907,36,20.07,223.9,B,C1,Teacher,9 years,MORTGAGE,134083,Source Verified,2018-06-30,credit_card,FL,27.76,0,710,1,,15,0,136184,69.6,52,48506.84,11930.84,183.9,631.82,0,0,714,Fully Paid
LC100069,39488,60,27.96,177.82,A,B4,Engineer,7 years,MORTGAGE,117155,Source Verified,2018-02-28,small_business,NJ,29.02,1,660,0,23.0,19,0,3624,58.6,28,30098.6,15071.72,9715.81,1435.56,1,0,664,Fully Paid
LC100070,31117,60,8.21,859.68,B,C3,Technician,9 years,RENT,97373,Source Verified,2019-08-31,major_purchase,CA,27.37,0,715,3,,7,0,1486,71.7,42,38129.68,24799.9,812.15,805.45,0,0,719,Fully Paid
LC100071,8749,36,8.78,1164.62,B,B4,Sales,8 years,MORTGAGE,34712,Source Verified,2021-07-31,car,MI,15.08,0,800,0,57.0,31,0,6497,74.4,29,43833.74,29569.62,6007.26,1646.03,1,0,804,Fully Paid
LC100072,1215,36,13.98,1263.16,B,B5,Other,8 years,RENT,140820,Source Verified,2023-12-31,debt_consolidation,AZ,28.91,0,755,0,,25,0,5376,37.6,72,7468.68,15927.03,12921.08,23.97,0,0,759,Charged Off
LC100073,32802,36,24.73,425.56,A,B4,Engineer,7 years,MORTGAGE,78619,Not Verified,2019-12-31,debt_consolidation,NC,0.04,0,670,1,52.0,31,0,6297,2.8,13,38305.65,8767.14,12783.51,1388.47,1,0,674,Fully Paid
LC100074,28567,60,16.25,469.81,C,D3,Technician,1 year,MORTGAGE,24327,Source Verified,2022-05-31,car,CA,19.4,0,800,2,52.0,19,0,35365,81.9,5,37946.76,9871.8,14446.31,714.79,2,0,804,Fully Paid
LC100075,29431,36,12.9,168.2,E,B2,Sales,4 years,MORTGAGE,31037,Verified,2019-07-31,medical,VA,20.92,0,780,1,11.0,18,0,5408,76.1,21,17271.18,10921.68,4363.26,1381.45,2,0,784,Fully Paid
LC100076,31079,36,18.41,1090.94,B,E3,Other,1 year,OWN,68491,Verified,2021-10-31,car,NJ,3.24,5,750,1,4.0,29,2,1855,42.6,56,42982.98,20974.84,13313.25,1525.17,0,0,754,Fully Paid
LC100077,3887,36,11.49,407.7,B,G4,Engineer,< 1 year,OWN,29573,Source Verified,2023-06-30,credit_card,WA,2.84,0,665,1,24.0,21,2,1814,84.0,53,16797.55,31165.36,10863.56,915.01,2,0,669,Fully Paid
LC100078,14980,36,14.73,688.87,B,A4,Analyst,3 years,RENT,122316,Verified,2020-03-31,medical,CA,37.72,0,755,0,,32,0,12592,44.5,25,6334.93,6730.27,1208.0,776.6,2,0,759,Fully Paid
LC100079,5518,36,13.15,1302.59,E,B2,Other,6 years,MORTGAGE,33652,Not Verified,2019-10-31,home_improvement,VA,30.32,0,795,0,20.0,31,0,5058,50.4,6,40759.75,16201.98,1653.76,1336.43,1,0,799,Fully Paid
LC100080,34661,36,24.0,1060.54,C,B5,Other,< 1 year,RENT,81247,Verified,2018-11-30,small_business,MA,28.58,0,755,5,,33,1,76784,42.6,29,47329.25,31938.1,14168.76,646.02,0,0,759,Charged Off
LC100081,25308,36,26.76,102.25,B,B1,Engineer,2 years,OWN,84127,Not Verified,2020-07-31,credit_card,WA,17.02,0,670,0,62.0,2,1,7390,63.0,73,34393.65,11143.68,4621.82,1979.83,0,0,674,Fully Paid
LC100082,13905,36,22.97,41.17,D,B3,Analyst,4 years,MORTGAGE,32368,Not Verified,2023-08-31,car,OH,4.86,1,710,0,,7,0,5739,85.2,36,18213.14,32462.02,4383.68,1215.7,0,0,714,Fully Paid
LC100083,3478,36,15.6,1108.75,B,B3,Sales,9 years,MORTGAGE,72916,Verified,2022-10-31,debt_consolidation,TX,17.56,1,830,0,76.0,23,0,11603,43.3,48,8751.02,15955.77,3595.46,1811.29,0,0,834,Fully Paid
LC100084,13128,36,17.1,786.93,A,B4,Analyst,n/a,MORTGAGE,127258,Not Verified,2018-02-28,debt_consolidation,OH,36.57,0,685,3,30.0,34,0,5025,60.4,58,36915.52,27701.99,2599.47,1346.4,1,0,689,Fully Paid
LC100085,13682,36,8.38,1016.86,B,B3,Sales,8 years,MORTGAGE,53365,Not Verified,2019-01-31,debt_consolidation,FL,3.94,0,765,2,,3,0,74544,49.2,59,49273.77,19178.82,2820.15,163.12,6,0,769,Fully Paid
LC100086,29454,60,22.68,244.84,B,D2,Nurse,8 years,MORTGAGE,134594,Verified,2019-09-30,credit_card,MA,39.58,0,670,1,7.0,33,0,50987,51.8,43,5274.97,2686.91,2254.06,1983.76,3,0,674,Fully Paid
LC100087,25864,36,19.22,1224.71,C,B5,Manager,9 years,MORTGAGE,137915,Source Verified,2019-08-31,debt_consolidation,OTHER,31.04,1,700,0,73.0,17,0,21613,100.0,19,45820.94,2863.34,8727.87,525.92,1,0,704,Charged Off
LC100088,35601,36,26.26,1089.46,C,B4,Other,6 years,MORTGAGE,42351,Not Verified,2023-04-30,debt_consolidation,WA,12.09,0,820,0,9.0,23,0,2582,0.0,39,28194.43,15589.17,14156.65,1109.6,3,0,824,Fully Paid
LC100089,19416,36,10.11,1250.45,D,A1,Nurse,6 years,MORTGAGE,75147,Verified,2023-06-30,debt_consolidation,OTHER,34.77,2,690,2,,4,0,12803,23.0,60,37322.33,33719.64,7173.41,1643.1,2,0,694,Fully Paid
LC100090,5664,36,22.97,497.3,C,B2,Manager,9 years,RENT,29223,Not Verified,2023-06-30,credit_card,FL,31.37,0,800,1,34.0,21,0,47209,58.9,16,48890.28,8243.24,14586.15,706.66,0,0,804,Fully Paid
LC100091,28816,36,21.25,407.72,C,C1,Sales,n/a,MORTGAGE,102176,Source Verified,2022-02-28,debt_consolidation,OTHER,42.21,0,760,4,46.0,2,0,1245,69.3,78,41473.49,8770.73,11782.74,743.34,1,0,764,Fully Paid
LC100092,30670,36,11.61,237.87,C,B3,Driver,2 years,RENT,164125,Not Verified,2023-08-31,medical,NJ,15.39,2,660,2,,21,0,1745,100.0,61,9245.69,36099.9,1401.51,1035.96,1,0,664,Fully Paid
LC100093,22889,36,20.85,1304.22,C,C3,Nurse,6 years,MORTGAGE,151692,Verified,2022-06-30,debt_consolidation,NY,13.8,0,710,0,10.0,23,3,4088,72.0,36,31246.0,20477.97,2727.66,1522.14,0,0,714,Charged Off
LC100094,31067,36,26.76,272.26,A,F5,Director,10+ years,RENT,82739,Source Verified,2018-08-31,credit_card,OTHER,9.44,0,820,0,,26,0,5019,53.5,53,8125.61,39730.73,9030.95,841.67,3,0,824,Fully Paid
LC100095,20258,36,26.62,193.46,D,C1,Engineer,< 1 year,RENT,32888,Source Verified,2019-04-30,small_business,NC,37.79,0,715,0,,33,0,25261,11.3,24,23456.22,17568.45,13184.02,933.03,2,0,719,Fully Paid
LC100096,21386,36,22.05,293.97,F,C2,Analyst,< 1 year,RENT,40159,Source Verified,2023-11-30,credit_card,OTHER,35.72,0,790,0,2.0,10,0,3050,99.4,45,45211.56,20374.11,6498.48,206.78,4,0,794,Fully Paid
LC100097,17674,36,6.61,1086.79,C,C1,Sales,< 1 year,MORTGAGE,161518,Not Verified,2021-11-30,debt_consolidation,AZ,3.61,3,795,0,60.0,21,0,5090,34.6,60,2407.27,21362.56,6116.52,470.03,0,0,799,Fully Paid
LC100098,1991,36,25.56,1248.66,C,C1,Driver,8 years,MORTGAGE,19392,Source Verified,2021-06-30,credit_card,MA,44.92,0,780,4,40.0,25,0,4750,74.7,65,1507.91,11138.19,9990.37,175.65,0,0,784,Fully Paid
LC100099,5207,36,20.63,1140.95,A,G1,Director,3 years,RENT,115652,Source Verified,2021-04-30,moving,FL,11.94,0,715,2,,32,0,4792,53.1,39,8962.58,5018.63,6301.59,1005.03,1,0,719,Fully Paid
LC100100,2225,36,12.64,801.64,E,B1,Manager,5 years,RENT,76059,Not Verified,2020-03-31,debt_consolidation,PA,36.99,0,660,1,76.0,32,0,13514,74.3,32,16068.85,33401.49,6672.26,1939.35,2,0,664,Charged Off
LC100101,25820,36,9.81,1391.62,E,F3,Technician,3 years,MORTGAGE,106327,Not Verified,2021-11-30,credit_card,CA,28.92,0,670,0,68.0,15,0,101123,38.8,5,42163.46,30635.16,2504.41,752.61,1,0,674,Fully Paid
LC100102,13259,36,8.17,124.33,D,B5,Technician,7 years,RENT,89860,Not Verified,2020-03-31,home_improvement,NY,39.75,0,720,0,15.0,3,0,11747,81.2,29,6357.59,11427.47,11124.51,897.4,0,0,724,Fully Paid
LC100103,20834,36,6.66,1218.05,A,A2,Other,1 year,MORTGAGE,62295,Verified,2023-06-30,debt_consolidation,GA,25.73,1,845,1,,10,0,6265,68.5,40,24297.89,11623.23,12289.47,855.18,0,0,849,Fully Paid
LC100104,36395,60,22.84,615.97,E,C4,Director,4 years,OTHER,37674,Source Verified,2020-11-30,other,NC,35.87,0,670,1,80.0,16,0,4653,61.8,66,34406.18,38369.1,5124.65,1986.57,7,0,674,Charged Off
LC100105,10722,60,10.92,653.52,A,B3,Technician,8 years,RENT,111764,Source Verified,2019-03-31,major_purchase,AZ,25.97,2,700,0,49.0,32,0,5601,19.3,11,17679.2,20559.7,2201.51,1410.46,3,0,704,Fully Paid
LC100106,17004,36,6.06,204.81,C,C3,Driver,4 years,OWN,23877,Not Verified,2022-06-30,credit_card,MI,33.93,0,740,0,2.0,4,0,144933,37.5,69,46607.1,25090.85,11683.45,1781.12,2,0,744,Fully Paid
LC100107,30466,36,14.64,75.8,C,D2,Engineer,10+ years,MORTGAGE,73492,Verified,2020-04-30,debt_consolidation,IL,31.22,0,815,0,,13,1,3694,72.7,40,2592.47,14554.16,5070.2,1778.55,0,0,819,Fully Paid
LC100108,9923,36,16.6,463.78,D,C2,Nurse,1 year,MORTGAGE,47083,Not Verified,2020-07-31,debt_consolidation,NC,2.17,0,680,0,,2,0,6924,72.5,25,41287.46,10436.02,5789.58,666.01,0,0,684,Fully Paid
LC100109,4002,36,9.39,269.55,D,A5,Engineer,3 years,OWN,31938,Not Verified,2018-06-30,debt_consolidation,OTHER,17.73,0,775,0,,12,0,4432,50.8,4,1899.85,7122.12,4344.64,645.18,3,2,779,Fully Paid
LC100110,12300,60,6.51,692.17,D,B4,Engineer,1 year,RENT,79127,Source Verified,2022-06-30,medical,OH,5.52,0,675,0,62.0,5,0,5547,59.3,63,13754.4,5807.6,2483.63,1115.45,0,0,679,Fully Paid
LC100111,7287,60,9.85,231.84,E,A3,Driver,1 year,RENT,187399,Source Verified,2021-10-31,major_purchase,OH,33.4,0,745,1,,6,0,11865,42.7,8,15631.6,11933.74,1468.45,1515.75,1,0,749,Charged Off
LC100112,37258,60,21.12,218.96,C,E5,Manager,1 year,MORTGAGE,29848,Verified,2021-12-31,other,VA,25.69,0,770,0,35.0,32,0,5376,59.5,34,18606.31,24303.34,11673.65,1762.23,5,0,774,Charged Off
